ensembl ,gene ,log2FC,pvalue,padj,cell,timepoint
ENSG00000233154,RP4-655J12.4,-1.340220458,0.002360643,0.166136082,HepG2,early
ENSG00000224063,AC007319.1,-1.07573388,0.002407319,0.166136739,HepG2,early
ENSG00000247095,MIR210HG,-1.055280484,0.001823065,0.170019833,HuH7,early
ENSG00000253898,RP11-51M18.1,1.762146086,0.000707747,0.172928795,HepG2,late
ENSG00000261420,RP1-168L15.5,-2.01777956,0.000705323,0.172928795,HepG2,late
ENSG00000227544,AC018647.3,-1.611025488,0.002666437,0.173718922,HepG2,early
ENSG00000227544,AC018647.3,-1.611025488,0.002666437,0.173718922,HepG2,early
ENSG00000228214,LINC00693,-1.812931827,0.002747291,0.174301261,HepG2,early
ENSG00000226263,ISM1-AS1,-1.878883009,0.002922345,0.176376744,HepG2,early
ENSG00000249042,CTD-2015H6.3,-1.377108721,0.000435942,0.179131242,HuH7,mid
ENSG00000250337,LINC01021,-1.540506047,0.003046968,0.179889603,HepG2,early
ENSG00000256940,RP11-783K16.5,1.254538862,0.003007788,0.182295213,HepG2,mid
ENSG00000237686,RP5-1120P11.1,-1.316859662,0.000568779,0.18257117,HuH7,mid
ENSG00000237686,RP5-1120P11.1,-1.316859662,0.000568779,0.18257117,HuH7,mid
ENSG00000246982,RP1-179N16.6,-1.438544374,0.000623394,0.18257117,HuH7,mid
ENSG00000255389,C6orf3,-1.725716041,0.003308286,0.188180088,HepG2,early
ENSG00000229178,AC069513.4,-1.693229614,0.003454253,0.190116878,HepG2,early
ENSG00000261189,RP3-512B11.3,-1.450041484,0.003476797,0.19045322,HepG2,early
ENSG00000259804,CTD-2012K14.7,1.283773993,0.003522661,0.190996497,HepG2,early
ENSG00000231742,RP11-112L6.4,-1.439462639,0.003566369,0.192384784,HepG2,early
ENSG00000218510,LINC00339,-1.450062103,0.003611871,0.192419663,HepG2,early
ENSG00000218510,LINC00339,-1.450062103,0.003611871,0.192419663,HepG2,early
ENSG00000226828,RP11-278H7.1,-1.87222278,0.003793141,0.194139361,HepG2,early
ENSG00000228288,PCAT6,-1.571959815,0.003885558,0.194139361,HepG2,early
ENSG00000230906,AC023115.1,-1.819810481,0.003882975,0.194139361,HepG2,early
ENSG00000230906,AC023115.1,-1.819810481,0.003882975,0.194139361,HepG2,early
ENSG00000236714,AC005592.1,-1.894424694,0.003937894,0.194139361,HepG2,early
ENSG00000250988,RP11-752G15.6,-1.238289484,0.003683619,0.194139361,HepG2,early
ENSG00000237457,RP11-547I7.2,-1.121916046,0.002199622,0.194334355,HuH7,early
ENSG00000228624,RP3-399L15.3,-1.160308049,0.000857595,0.194726063,HepG2,late
ENSG00000228624,RP3-399L15.3,-1.160308049,0.000857595,0.194726063,HepG2,late
ENSG00000228624,RP3-399L15.3,-1.160308049,0.000857595,0.194726063,HepG2,late
ENSG00000228624,RP3-399L15.3,-1.160308049,0.000857595,0.194726063,HepG2,late
ENSG00000236519,AL773604.8,-1.887011263,0.004059048,0.195690712,HepG2,early
ENSG00000257114,RP11-25I15.3,1.906293587,0.004339089,0.199185735,HepG2,early
ENSG00000237174,RP11-415D17.3,-1.708821764,0.004396601,0.199669572,HepG2,early
ENSG00000237174,RP11-415D17.3,-1.708821764,0.004396601,0.199669572,HepG2,early
ENSG00000177410,ZFAS1,0.925700341,0.003620098,0.201416057,HepG2,mid
ENSG00000269821,KCNQ1OT1,0.942367062,0.00460975,0.202885904,HepG2,early
ENSG00000234199,AC010982.1,-1.587010718,0.004911691,0.205498195,HepG2,early
ENSG00000261173,RP11-169E6.1,1.751625007,0.00484177,0.205498195,HepG2,early
ENSG00000262188,RP11-353N14.4,-1.916949955,0.004998063,0.207321772,HepG2,early
ENSG00000240093,AC093627.12,-1.897120698,0.005090037,0.207344357,HepG2,early
ENSG00000223727,AC026188.1,-1.750640077,0.005535576,0.208017683,HepG2,early
ENSG00000246898,LINC00920,-1.560696022,0.005478835,0.208017683,HepG2,early
ENSG00000249395,CASC9,-1.55130145,0.005509346,0.208017683,HepG2,early
ENSG00000250133,HOXC-AS2,-1.724878701,0.005373627,0.208017683,HepG2,early
ENSG00000256196,RP11-881M11.4,-0.99671835,0.002603827,0.212656412,HuH7,early
ENSG00000231023,LINC00326,-1.755826668,0.000968102,0.212888133,HepG2,late
ENSG00000260090,RP11-292D4.3,-1.736988452,0.005876327,0.213809468,HepG2,early
ENSG00000224596,ZMIZ1-AS1,-1.459152844,0.006056967,0.213845147,HepG2,early
ENSG00000253138,LINC00967,-1.83035809,0.006043669,0.213845147,HepG2,early
ENSG00000232498,RP5-1011O1.2,-1.444937559,0.006091631,0.214712319,HepG2,early
ENSG00000264569,RP13-650J16.1,-1.231647804,0.000939865,0.215046053,HuH7,mid
ENSG00000185847,RP1-46F2.2,1.638709905,0.00618323,0.215703045,HepG2,early
ENSG00000185847,RP1-46F2.2,1.638709905,0.00618323,0.215703045,HepG2,early
ENSG00000235142,RP1-60O19.1,-1.204031812,0.006457463,0.215703045,HepG2,early
ENSG00000247134,RP11-11N9.4,-1.28717521,0.006255106,0.215703045,HepG2,early
ENSG00000248079,DPH6-AS1,-1.799048945,0.006420218,0.215703045,HepG2,early
ENSG00000257052,RP11-881M11.2,-1.788418959,0.006232348,0.215703045,HepG2,early
ENSG00000267790,RP11-316M20.1,-1.736976497,0.006292302,0.215703045,HepG2,early
ENSG00000257815,RP11-611E13.2,-0.846997857,0.002726904,0.215733212,HuH7,early
ENSG00000229017,RP11-439L18.3,-1.175179654,0.00658746,0.217178103,HepG2,early
ENSG00000231023,LINC00326,-1.54724312,0.006679701,0.217812444,HepG2,early
ENSG00000247473,CARS-AS1,1.764311739,0.006682962,0.217812444,HepG2,early
ENSG00000246477,AF131216.6,1.40736771,0.006813654,0.218043919,HepG2,early
ENSG00000233255,AC019181.2,-1.508928357,0.00685976,0.218838131,HepG2,early
ENSG00000225439,BOLA3-AS1,-1.147065064,0.007187119,0.221705398,HepG2,early
ENSG00000263470,RP11-160O5.1,1.298323489,0.004405982,0.224416845,HepG2,mid
ENSG00000235621,LINC00494,-1.396492014,0.004479539,0.225355278,HepG2,mid
ENSG00000226900,RP11-432J24.5,-1.243154173,0.007524841,0.225894014,HepG2,early
ENSG00000225945,RP3-441A12.1,-1.894080116,0.00772173,0.226915828,HepG2,early
ENSG00000229873,OGFR-AS1,-1.589736366,0.007607318,0.226915828,HepG2,early
ENSG00000231877,RP11-177F15.1,-1.640381611,0.007686546,0.226915828,HepG2,early
ENSG00000231877,RP11-177F15.1,-1.640381611,0.007686546,0.226915828,HepG2,early
ENSG00000231877,RP11-177F15.1,-1.640381611,0.007686546,0.226915828,HepG2,early
ENSG00000253642,RP11-317N12.1,1.51996698,0.007726086,0.226915828,HepG2,early
ENSG00000253642,RP11-317N12.1,1.51996698,0.007726086,0.226915828,HepG2,early
ENSG00000224138,AC000123.4,-1.82794261,0.007799452,0.228235261,HepG2,early
ENSG00000229131,AC016710.1,1.578463871,0.004732534,0.232363151,HepG2,mid
ENSG00000229131,AC016710.1,1.578463871,0.004732534,0.232363151,HepG2,mid
ENSG00000232640,RP1-266L20.2,-1.098612629,0.008288574,0.23263343,HepG2,early
ENSG00000236172,hsa-mir-7515,-1.615836625,0.008318558,0.23263343,HepG2,early
ENSG00000236172,hsa-mir-7515,-1.615836625,0.008318558,0.23263343,HepG2,early
ENSG00000272304,RP11-19C24.1,1.639561154,0.00848379,0.233111026,HepG2,early
ENSG00000233542,RP11-547D24.1,-2.13742655,0.001158206,0.236726026,HepG2,late
ENSG00000238142,RP11-108M9.4,-0.818148939,0.003169547,0.236850329,HuH7,early
ENSG00000253214,RP11-1149M10.2,1.844425323,0.008773263,0.236933833,HepG2,early
ENSG00000231185,AC005592.2,-1.285995431,0.008860034,0.23746678,HepG2,early
ENSG00000231185,AC005592.2,-1.285995431,0.008860034,0.23746678,HepG2,early
ENSG00000224020,MIR181A2HG,1.32307875,0.009139509,0.238164501,HepG2,early
ENSG00000255129,RP11-839D17.3,1.756085897,0.009078559,0.238164501,HepG2,early
ENSG00000272894,RP5-1159O4.1,1.47470746,0.001268307,0.238302891,HuH7,mid
ENSG00000248587,GDNF-AS1,-1.45698685,0.009177941,0.238469381,HepG2,early
ENSG00000267391,RP11-1151B14.3,-1.115719495,0.001305921,0.23903014,HuH7,mid
ENSG00000229005,HNF4A-AS1,-1.292191149,0.00947043,0.240770955,HepG2,early
ENSG00000224149,RP11-510C10.3,-1.580553984,0.009617542,0.242480713,HepG2,early
ENSG00000246982,RP1-179N16.6,-1.105806265,0.003453492,0.246141132,HuH7,early
ENSG00000233593,RP4-665J23.1,-0.729629898,0.00352747,0.24725814,HuH7,early
ENSG00000224189,HOXD-AS1,-0.530143189,0.003624885,0.250567281,HuH7,early
ENSG00000241316,RP11-81N13.1,-1.310209159,0.010533882,0.25071346,HepG2,early
ENSG00000241316,RP11-81N13.1,-1.310209159,0.010533882,0.25071346,HepG2,early
ENSG00000241316,RP11-81N13.1,-1.310209159,0.010533882,0.25071346,HepG2,early
ENSG00000233527,AC092295.7,-1.236675389,0.01061661,0.251143894,HepG2,early
ENSG00000236849,RP11-151D14.1,-1.620650907,0.010696347,0.251432777,HepG2,early
